v_avg,j_avg
1.007813275,-0.000692403
1.009463787,-0.000210496
1.012594592,-0.000121957
1.015618421,-0.000085099
1.018706855,-0.000054192
1.021805886,-0.000029016
1.024864663,-0.000010203
1.027992297,0.000006848
1.031048965,0.000021709
1.034120452,0.000033850
1.037211012,0.000046795
1.040325929,0.000059303
1.043403771,0.000070030
1.046500672,0.000077458
1.049511794,0.000087556
1.052617189,0.000099407
1.055680204,0.000106067
1.058770765,0.000113276
1.061875079,0.000124933
1.064957175,0.000129500
1.067991588,0.000137016
1.071128752,0.000147592
1.074201312,0.000150996
1.077281255,0.000159886
1.080325220,0.000165636
1.083440144,0.000174227
1.086489368,0.000180438
1.089615960,0.000187990
1.092677910,0.000194321
1.095765296,0.000202704
1.098801825,0.000208946
1.101959098,0.000218995
1.105026368,0.000224381
1.108102087,0.000231105
1.111156631,0.000242403
1.114274729,0.000246465
1.117301721,0.000254570
1.120413471,0.000264605
1.123483900,0.000269106
1.126549024,0.000275952
1.129647020,0.000285846
1.132753465,0.000292395
1.135793183,0.000300811
1.138845611,0.000307044
1.141976405,0.000315773
1.145011891,0.000322510
1.148049478,0.000328994
1.151220519,0.000340375
1.154303674,0.000346575
1.157361392,0.000351477
1.160449836,0.000362836
1.163542513,0.000368292
1.166626711,0.000375054
1.169707734,0.000385217
1.172758047,0.000389924
1.175827403,0.000398937
1.178912658,0.000407344
1.182050888,0.000412887
1.185118143,0.000422140
1.188159991,0.000429110
1.191250522,0.000437511
1.194330502,0.000444520
1.197411526,0.000450704
1.200516898,0.000460749
1.203586284,0.000466052
1.206651423,0.000472138
1.209776942,0.000482773
1.212815557,0.000486538
1.215887074,0.000494273
1.218995635,0.000504419
1.222054426,0.000507748
1.225171451,0.000516811
1.228219632,0.000524260
1.231280539,0.000530354
1.234414492,0.000540047
1.237445746,0.000544445
1.240599874,0.000553799
1.243674550,0.000558115
1.246739660,0.000563379
1.249809060,0.000575097
1.252864663,0.000580056
1.255946729,0.000585235
1.259053174,0.000596544
1.262112979,0.000598110
1.265147451,0.000602747
1.268183980,0.000615784
1.271314744,0.000620733
1.274373565,0.000629922
1.277449284,0.000639212
1.280496422,0.000644349
1.283653680,0.000651855
1.286670093,0.000660080
1.289760683,0.000669158
1.292875562,0.000680434
1.295953427,0.000685429
1.299086336,0.000702214
1.302134547,0.000707568
1.305168960,0.000717433
1.308295552,0.000732753
1.311377619,0.000740586
1.314400379,0.000752206
1.317522708,0.000769247
1.320636574,0.000776805
1.323683713,0.000791968
1.326738212,0.000807370
1.329820339,0.000820386
1.332901333,0.000837893
1.335977081,0.000851857
1.339097235,0.000873508
1.342148665,0.000891385
1.345200036,0.000908874
1.348318104,0.000935670
1.351417158,0.000955288
1.354452614,0.000977297
1.357634280,0.001011074
1.360655967,0.001037079
1.363715801,0.001072877
1.366777275,0.001140435
1.369891826,0.001196115
1.372968648,0.001262471
1.376035903,0.001375411
1.379160348,0.001540948
1.382285867,0.001795936
1.385307584,0.002169380
1.388552431,0.002794890
1.391814057,0.003622847
1.394850854,0.004583587
1.397976313,0.005765726
1.401003514,0.007158596
1.404103253,0.008637656
1.407154057,0.010241978
1.410294596,0.011938458
1.413337711,0.013694962
1.416431312,0.015447703
1.419501279,0.016942546
1.422557090,0.017801229
1.425692353,0.018563821
1.428750102,0.018153031
1.431806598,0.017178943
1.434943322,0.015397373
1.437995527,0.014171215
1.441054914,0.012904444
1.444167916,0.011851415
1.447233025,0.011192321
1.450287584,0.010580904
1.453417871,0.010083338
1.456431631,0.009402780
1.459547047,0.009092296
1.462625865,0.008843511
1.465764169,0.008607138
1.468803827,0.008368117
1.471907143,0.008131783
1.475019995,0.007936764
1.478083197,0.007695642
1.481138948,0.007455743
1.484198097,0.007225689
1.487265591,0.006949938
1.490338389,0.006706447
1.493480090,0.006507456
1.496512596,0.006325027
1.499629442,0.006010411
1.502708320,0.006050119
1.505780879,0.006050427
1.508910719,0.006080608
1.511948172,0.006132709
1.515034262,0.006372843
1.518111650,0.006448067
1.521171395,0.006634702
1.524328653,0.006905932
1.527356748,0.007200762
1.530409161,0.007571170
1.533521596,0.008102454
1.536623303,0.008602304
1.539670412,0.009175667
1.542736296,0.009997119
1.545846526,0.010723565
1.548936669,0.011739154
1.552028719,0.012726379
1.555070881,0.013938214
1.558141712,0.015327728
1.561257843,0.016793926
1.564317886,0.018464337
1.567369167,0.020301483
1.570489053,0.022368634
1.573527757,0.024556546
1.576475684,0.026881552
1.579586867,0.029617132
1.582658712,0.032490766
1.585710827,0.035634112
1.588832144,0.039083196
1.591861311,0.042717187
1.594942872,0.046626964
1.598007504,0.050981852
1.601101998,0.055451733
1.604204420,0.060288048
1.607284609,0.065388231
1.610388998,0.070786368
1.613439862,0.076605697
1.616525296,0.082521910
1.619626824,0.088892865
1.622638766,0.095499598
1.625771169,0.102481054
1.628818635,0.109830001
1.631980006,0.117231923
1.635005955,0.125081794
1.638099555,0.132911530
1.641153757,0.141442097
1.644284550,0.149741012
1.647394542,0.158616884
1.650467638,0.167285275
1.653509263,0.176523409
1.656585340,0.185625160
1.659686510,0.195406445
1.662728194,0.204328496
1.665864352,0.214541687
1.668911759,0.223910212
1.671994869,0.233576072
1.675066594,0.243872312
1.678175394,0.252942245
1.681276862,0.263376165
1.684350852,0.272898507
1.687390450,0.283516516
1.690524165,0.292715033
1.693544570,0.302957604
1.696689192,0.312484443
1.699722413,0.321259118
1.702781204,0.331601268
1.705911938,0.340222480
1.707694475,0.346484027
1.707996611,0.347937240
1.707827333,0.347973027
1.706047718,0.340539220
1.702920739,0.325053414
1.699874166,0.312205667
1.696763221,0.298767253
1.693716887,0.286816730
1.690616194,0.274538545
1.687546615,0.263578894
1.684474114,0.253591571
1.681365851,0.241854456
1.678306822,0.232285014
1.675216977,0.221695876
1.672116522,0.211509289
1.669072811,0.201309682
1.665955607,0.191472724
1.662894789,0.181963876
1.659792725,0.172840361
1.656707291,0.163890414
1.653620485,0.155323365
1.650532845,0.147038613
1.647515420,0.138211028
1.644409839,0.130505020
1.641317431,0.124486357
1.638216201,0.117316330
1.635145310,0.109839942
1.632083658,0.103107003
1.628981773,0.096261517
1.625867669,0.089951112
1.622807685,0.083536960
1.619784240,0.077862426
1.616654817,0.071940856
1.613577370,0.066716069
1.610473160,0.061484705
1.607375268,0.056699882
1.604339186,0.052186269
1.601193849,0.047877370
1.598142032,0.043874959
1.595110361,0.040054832
1.592004839,0.036548361
1.588971142,0.033247352
1.585835401,0.030134367
1.582783941,0.027275626
1.579716209,0.024754545
1.576600913,0.022224983
1.573701803,0.020116540
1.570439104,0.018038004
1.567198400,0.016080554
1.564112906,0.014366723
1.561065618,0.012778898
1.558041398,0.011350677
1.554946426,0.010076153
1.551823620,0.008921859
1.548756722,0.007877544
1.545695189,0.006897022
1.542593483,0.006074075
1.539499823,0.005280534
1.536433283,0.004623040
1.533327941,0.004030195
1.530244056,0.003396845
1.527154032,0.002974347
1.524154548,0.002548841
1.520810310,0.002076540
1.517648105,0.001761406
1.514570240,0.001466455
1.511442546,0.001216166
1.508367959,0.000970784
1.505325023,0.000757352
1.502202693,0.000566553
1.499121670,0.000396715
1.496085469,0.000137436
1.492967907,0.000068757
1.489936654,-0.000046591
1.486825947,-0.000142642
1.483711008,-0.000265482
1.480626885,-0.000339579
1.477624241,-0.000427802
1.474466924,-0.000531812
1.471398596,-0.000599247
1.468338732,-0.000680153
1.465227012,-0.000778807
1.462149147,-0.000845471
1.459094707,-0.000933974
1.456049625,-0.001027819
1.452931527,-0.001111507
1.449813429,-0.001212928
1.446756754,-0.001306962
1.443653319,-0.001549747
1.440603022,-0.001575159
1.437502924,-0.001681003
1.434443031,-0.001840929
1.431371573,-0.001975333
1.428282056,-0.002129400
1.425204191,-0.002337273
1.422096733,-0.002509379
1.419052724,-0.002721607
1.415926192,-0.002997337
1.412554775,-0.003460432
1.409488592,-0.003669603
1.406366263,-0.004016612
1.403271441,-0.004342132
1.400262956,-0.004825543
1.397161100,-0.005408928
1.394111876,-0.005782701
1.390971486,-0.006278444
1.387901787,-0.007156389
1.384855900,-0.007561921
1.381730113,-0.008242618
1.378649119,-0.008964043
1.375519369,-0.009479801
1.372497354,-0.010287456
1.369369809,-0.010785186
1.366321657,-0.011210011
1.341728453,-0.011023430
1.338592712,-0.010470771
1.335490678,-0.009605523
1.332426462,-0.008862693
1.329367671,-0.008278561
1.326259974,-0.007663297
1.323232357,-0.007052018
1.320154462,-0.006440882
1.316999648,-0.005893450
1.313887898,-0.005522479
1.310890559,-0.005167986
1.307749156,-0.004844175
1.304735784,-0.004518826
1.301640097,-0.004207056
1.298528705,-0.003901396
1.295406107,-0.003578860
1.292358641,-0.003249410
1.289301369,-0.002826764
1.286182497,-0.002518320
1.283124779,-0.002191275
1.280043785,-0.001887385
1.276804838,-0.001615246
1.273574535,-0.001390490
1.270519797,-0.001232090
1.267379198,-0.001114562
1.264356140,-0.001016252
1.261354301,-0.000944693
1.258207355,-0.000897593
1.255167369,-0.000851235
1.252078626,-0.000816331
1.249038611,-0.000788462
1.245908175,-0.000760401
1.242884521,-0.000738586
1.239804302,-0.000721018
1.236649934,-0.000703315
1.233597223,-0.000690713
1.230538134,-0.000673466
1.227434609,-0.000668357
1.224372152,-0.000654622
1.221326027,-0.000643179
1.218187515,-0.000639694
1.215122167,-0.000629421
1.212058876,-0.000620558
1.208955292,-0.000617726
1.205908988,-0.000608238
1.202782516,-0.000601207
1.199718837,-0.000601064
1.196584601,-0.000593236
1.193532948,-0.000590385
1.190462250,-0.000587293
1.187360797,-0.000580387
1.184295420,-0.000578562
1.181211997,-0.000573010
1.178090293,-0.000574591
1.175018687,-0.000569237
1.171993543,-0.000564277
1.168869872,-0.000566096
1.165844712,-0.000559293
1.162721057,-0.000555729
1.159640823,-0.000556655
1.156601865,-0.000551686
1.153460208,-0.000549085
1.150397990,-0.000548485
1.147334684,-0.000544033
1.144237492,-0.000539740
1.141198579,-0.000538960
1.138067503,-0.000534803
1.134968538,-0.000532759
1.131909136,-0.000528075
1.128792901,-0.000529127
1.125761379,-0.000520596
1.122674797,-0.000519058
1.119622115,-0.000519856
1.116513256,-0.000512607
1.113455284,-0.000509826
1.110352431,-0.000508643
1.107302222,-0.000501995
1.104210306,-0.000496451
1.101143856,-0.000496174
1.098047722,-0.000490673
1.094933588,-0.000489195
1.091858644,-0.000483464
1.088767860,-0.000481581
1.085727844,-0.000477148
1.082630653,-0.000472977
1.079463560,-0.000472458
1.076447945,-0.000468805
1.073419605,-0.000463778
1.070220728,-0.000464264
1.067215022,-0.000458470
1.064095210,-0.000455936
1.061027680,-0.000454575
1.057952743,-0.000450778
1.054887336,-0.000450063
1.051829349,-0.000449614
1.048739571,-0.000444530
1.045628619,-0.000444681
1.042559680,-0.000442725
1.039459664,-0.000442022
1.036400620,-0.000441139
1.033327799,-0.000438783
1.030213665,-0.000439538
1.027151432,-0.000437909
1.024036240,-0.000436794
1.020931836,-0.000439921
1.017937202,-0.000438207
1.014822014,-0.000437195
1.011768263,-0.000439791
1.008631885,-0.000437202
1.005556941,-0.000437813
1.002519075,-0.000438542
0.999433953,-0.000436588
0.996342708,-0.000439667
0.993290015,-0.000442222
0.990159996,-0.000440498
0.987118948,-0.000442934
0.984046128,-0.000440546
0.980894921,-0.000444676
0.977857053,-0.000443892
0.974770287,-0.000444411
0.971672218,-0.000448198
0.968598336,-0.000447668
0.965527632,-0.000446560
0.962431505,-0.000450667
0.959362921,-0.000450978
0.956283744,-0.000453141
0.954334234,-0.000450975
